Model,MDO3012
Firmware Version,1.26

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.0002
Horizontal Delay,0
Sample Interval,2e-07
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.002
Vertical Position,-0.26
,
,
,
Label,
TIME,CH2
-8.4040e-04,0.00250469
-8.4020e-04,0.00232656
-8.4000e-04,0.00229219
-8.3980e-04,0.00228938
-8.3960e-04,0.00237531
-8.3940e-04,0.00224375
-8.3920e-04,0.00255
-8.3900e-04,0.00256781
-8.3880e-04,0.00245781
-8.3860e-04,0.00237094
-8.3840e-04,0.00258688
-8.3820e-04,0.00249031
-8.3800e-04,0.0026125
-8.3780e-04,0.00235875
-8.3760e-04,0.00246562
-8.3740e-04,0.00238125
-8.3720e-04,0.00253063
-8.3700e-04,0.00261156
-8.3680e-04,0.00249938
-8.3660e-04,0.00258375
-8.3640e-04,0.00235594
-8.3620e-04,0.0023975
-8.3600e-04,0.00245719
-8.3580e-04,0.00236594
-8.3560e-04,0.00240844
-8.3540e-04,0.00247813
-8.3520e-04,0.00261563
-8.3500e-04,0.00266813
-8.3480e-04,0.00242125
-8.3460e-04,0.0025975
-8.3440e-04,0.00252156
-8.3420e-04,0.00282094
-8.3400e-04,0.00247313
-8.3380e-04,0.00247344
-8.3360e-04,0.00255969
-8.3340e-04,0.00245781
-8.3320e-04,0.00252938
-8.3300e-04,0.00275
-8.3280e-04,0.00247875
-8.3260e-04,0.00233219
-8.3240e-04,0.00242563
-8.3220e-04,0.00263313
-8.3200e-04,0.00257156
-8.3180e-04,0.00246313
-8.3160e-04,0.00244063
-8.3140e-04,0.00241438
-8.3120e-04,0.00257125
-8.3100e-04,0.00272719
-8.3080e-04,0.00246406
-8.3060e-04,0.0027075
-8.3040e-04,0.00246781
-8.3020e-04,0.0023875
-8.3000e-04,0.00230219
